"canonicalToolId","language","localized primary keyword","localized slug","localized H1","localized meta title","localized meta description","localized intro summary","localized FAQ topic ideas","same-tool language switch route","search intent note","risk/safety note if needed"
"faq-generator","es","generador de preguntas frecuentes","generador-de-preguntas-frecuentes","Generador de preguntas frecuentes","Generador de preguntas frecuentes gratis","Crea ideas de preguntas frecuentes para paginas, productos, servicios o articulos.","Genera temas de FAQ utiles y revisa exactitud, politicas y respuesta final.","preguntas frecuentes; FAQ para web; preguntas y respuestas","/es/tools/generador-de-preguntas-frecuentes/","Spanish expands FAQ for broader local clarity.","Review answers for factual and policy accuracy."
"faq-generator","fr","generateur de FAQ","generateur-de-faq","Generateur de FAQ","Generateur de FAQ gratuit","Creez des idees de questions frequentes pour pages, produits, services ou articles.","Generez une structure de FAQ puis verifiez les reponses et les limites du sujet.","questions frequentes; FAQ site web; questions reponses","/fr/tools/generateur-de-faq/","French commonly uses FAQ in digital content.","Review answers for factual and policy accuracy."
"faq-generator","de","faq generator","faq-generator","FAQ Generator","FAQ Generator kostenlos","Erstelle FAQ-Ideen fuer Webseiten, Produkte, Services und Artikel.","Nutze die Fragen als Entwurf und pruefe Antworten, Fakten und rechtliche Aussagen.","haeufige fragen; faq erstellen; fragen und antworten","/de/tools/faq-generator/","German SERP uses FAQ Generator strongly.","Review answers for factual and policy accuracy."
"canonical-tag-generator","es","generador de etiqueta canonical","generador-de-etiqueta-canonical","Generador de etiqueta canonical","Generador de etiqueta canonical gratis","Crea borradores de etiquetas canonical para indicar la URL preferida de una pagina.","Genera el formato base y revisa la URL final antes de implementarlo en tu sitio.","canonical SEO; etiqueta canonica; URL canonica","/es/tools/generador-de-etiqueta-canonical/","SEO technical query; canonical often remains English.","Technical SEO review required."
"canonical-tag-generator","fr","generateur de balise canonique","generateur-de-balise-canonique","Generateur de balise canonique","Generateur de balise canonique gratuit","Creez une balise canonique pour signaler l'URL preferee d'une page.","Generez un brouillon puis verifiez l'URL, le protocole et l'integration HTML.","balise canonical; URL canonique; SEO technique","/fr/tools/generateur-de-balise-canonique/","French uses balise canonique/canonical; native phrase is clear.","Technical SEO review required."
"canonical-tag-generator","de","canonical tag generator","canonical-tag-generator","Canonical Tag Generator","Canonical Tag Generator kostenlos","Erstelle Canonical-Tag-Entwuerfe fuer die bevorzugte URL einer Seite.","Pruefe URL, Protokoll und HTML-Einbindung vor dem Einsatz.","canonical tag; kanonische URL; technisches SEO","/de/tools/canonical-tag-generator/","German SEO often uses Canonical Tag in English.","Technical SEO review required."
"robots-txt-generator","es","generador de robots.txt","generador-de-robots-txt","Generador de robots.txt","Generador de robots.txt gratis","Crea borradores de archivos robots.txt para reglas basicas de rastreo.","Genera reglas iniciales y revisa que no bloqueen paginas importantes por error.","robots.txt SEO; archivo robots; reglas de rastreo","/es/tools/generador-de-robots-txt/","Technical query is language-neutral around robots.txt.","High risk if misused; require manual SEO review."
"robots-txt-generator","fr","generateur robots.txt","generateur-robots-txt","Generateur robots.txt","Generateur robots.txt gratuit","Creez un brouillon de fichier robots.txt pour des regles de crawl simples.","Controlez chaque directive afin de ne pas bloquer des pages importantes.","robots.txt SEO; fichier robots; directives crawl","/fr/tools/generateur-robots-txt/","French users search with robots.txt unchanged.","High risk if misused; require manual SEO review."
"robots-txt-generator","de","robots.txt generator","robots-txt-generator","robots.txt Generator","robots.txt Generator kostenlos","Erstelle robots.txt-Entwuerfe fuer einfache Crawling-Regeln.","Pruefe jede Direktive sorgfaeltig, damit wichtige Seiten nicht blockiert werden.","robots.txt seo; crawling regeln; robots datei","/de/tools/robots-txt-generator/","German query keeps robots.txt term.","High risk if misused; require manual SEO review."
"open-graph-generator","es","generador de etiquetas Open Graph","generador-de-etiquetas-open-graph","Generador de etiquetas Open Graph","Generador de etiquetas Open Graph gratis","Crea borradores de etiquetas Open Graph para vistas previas al compartir enlaces.","Genera titulo, descripcion e imagen sugerida y revisa cada campo antes de publicar.","Open Graph SEO; etiquetas sociales; vista previa enlace","/es/tools/generador-de-etiquetas-open-graph/","Protocol name is standard; intent is social preview metadata.","Review image rights and avoid misleading previews."
"open-graph-generator","fr","generateur Open Graph","generateur-open-graph","Generateur Open Graph","Generateur Open Graph gratuit","Creez des balises Open Graph pour ameliorer les apercus de liens partages.","Generez les champs principaux puis verifiez titre, description, image et URL.","Open Graph; balises sociales; apercu lien","/fr/tools/generateur-open-graph/","French technical searches keep Open Graph.","Review image rights and avoid misleading previews."
"open-graph-generator","de","open graph generator","open-graph-generator","Open Graph Generator","Open Graph Generator kostenlos","Erstelle Open-Graph-Tags fuer Link-Vorschauen in sozialen und Messaging-Kontexten.","Pruefe Titel, Beschreibung, Bildrechte und URL, bevor du die Tags einsetzt.","open graph tags; social preview; og tags","/de/tools/open-graph-generator/","German technical query keeps Open Graph.","Review image rights and avoid misleading previews."
"fancy-text-generator","es","letras bonitas","letras-bonitas","Generador de letras bonitas","Letras bonitas para copiar","Convierte texto en estilos decorativos para perfiles, mensajes y publicaciones.","Crea texto estilizado y comprueba legibilidad y compatibilidad antes de compartir.","letras para copiar; texto bonito; fuentes decorativas","/es/tools/letras-bonitas/","Spanish search intent strongly favors letras bonitas over literal fancy text.","Avoid deceptive identity or accessibility issues."
"fancy-text-generator","fr","generateur de texte stylise","generateur-de-texte-stylise","Generateur de texte stylise","Generateur de texte stylise gratuit","Transformez du texte en styles decoratifs a copier pour profils et messages.","Generez du texte stylise puis verifiez lisibilite et compatibilite selon la plateforme.","texte stylise; police a copier; lettres decoratives","/fr/tools/generateur-de-texte-stylise/","French prefers texte stylise/police a copier.","Accessibility and compatibility caveat needed."
"fancy-text-generator","de","schriftgenerator","schriftgenerator","Schriftgenerator","Schriftgenerator kostenlos","Wandle Text in dekorative Schriftstile zum Kopieren fuer Profile und Nachrichten um.","Erstelle stylischen Text und pruefe Lesbarkeit sowie Plattform-Kompatibilitaet.","schrift zum kopieren; schoene schrift; fancy text","/de/tools/schriftgenerator/","German head term is Schriftgenerator.","Accessibility and compatibility caveat needed."
"bold-text-generator","es","texto en negrita","texto-en-negrita","Generador de texto en negrita","Texto en negrita para copiar","Convierte texto normal en estilos de negrita para copiar y pegar.","Genera texto destacado y revisa que sea legible en la app o pagina donde lo uses.","negrita unicode; letras en negrita; copiar texto negrita","/es/tools/texto-en-negrita/","Spanish users search copyable bold text, not only generator.","Compatibility/accessibility warning."
"bold-text-generator","fr","texte gras","texte-gras","Generateur de texte gras","Texte gras a copier","Transformez du texte en style gras a copier pour profils, messages et titres.","Creez du texte en gras puis verifiez lisibilite et compatibilite d'affichage.","texte en gras; lettres grasses; gras unicode","/fr/tools/texte-gras/","French intent is copyable bold text.","Compatibility/accessibility warning."
"bold-text-generator","de","fettschrift generator","fettschrift-generator","Fettschrift Generator","Fettschrift Generator kostenlos","Wandle Text in fette Unicode-Schrift zum Kopieren und Einfuegen um.","Pruefe vor der Nutzung, ob der Text lesbar und kompatibel bleibt.","fetter text; bold text kopieren; unicode fettschrift","/de/tools/fettschrift-generator/","German native term Fettschrift is strong.","Compatibility/accessibility warning."
"cursive-text-generator","es","letras cursivas","letras-cursivas","Generador de letras cursivas","Letras cursivas para copiar","Convierte texto en estilos cursivos decorativos para copiar en perfiles y mensajes.","Genera letras cursivas y verifica legibilidad, acentos y compatibilidad antes de publicar.","cursiva para copiar; texto cursivo; letras manuscritas","/es/tools/letras-cursivas/","Spanish users search letras cursivas para copiar.","Compatibility/accessibility warning."
"cursive-text-generator","fr","texte cursif","texte-cursif","Generateur de texte cursif","Texte cursif a copier","Transformez du texte en style cursif decoratif pour profils, messages et bios.","Generez une version cursive puis controlez lisibilite et compatibilite.","ecriture cursive; cursif a copier; lettres manuscrites","/fr/tools/texte-cursif/","French copyable cursive text intent.","Compatibility/accessibility warning."
"cursive-text-generator","de","kursivschrift generator","kursivschrift-generator","Kursivschrift Generator","Kursivschrift Generator kostenlos","Erstelle dekorative Kursivschrift zum Kopieren fuer Profile und Nachrichten.","Pruefe Lesbarkeit und Kompatibilitaet, besonders bei Umlauten und Sonderzeichen.","kursivschrift kopieren; cursive text; schrift kursiv","/de/tools/kursivschrift-generator/","German term Kursivschrift fits cursive-style query.","Compatibility/accessibility warning."
"italic-text-generator","es","texto italica","texto-italica","Generador de texto italica","Texto italica para copiar","Convierte texto en estilo italica o inclinado para copiar y pegar.","Crea texto inclinado y revisa si la plataforma lo muestra correctamente.","italica unicode; texto inclinado; cursiva para copiar","/es/tools/texto-italica/","Spanish often blends italica/cursiva; chosen slug avoids collision with cursive tool.","Compatibility/accessibility warning."
"italic-text-generator","fr","texte italique","texte-italique","Generateur de texte italique","Texte italique a copier","Transformez du texte en italique a copier pour messages, profils et titres courts.","Generez une version italique puis verifiez affichage et lisibilite.","italique unicode; texte penche; italique a copier","/fr/tools/texte-italique/","French distinguishes italique from cursif.","Compatibility/accessibility warning."
"italic-text-generator","de","kursiver text generator","kursiver-text-generator","Kursiver Text Generator","Kursiver Text Generator kostenlos","Wandle normalen Text in kursiven Unicode-Text zum Kopieren um.","Teste die Darstellung vor der Nutzung, da nicht jede Plattform alle Zeichen unterstuetzt.","kursiver text kopieren; italic text; text schraeg","/de/tools/kursiver-text-generator/","Distinct from Kursivschrift slug to avoid collision with cursive tool.","Compatibility/accessibility warning."
"small-text-generator","es","letras pequenas","letras-pequenas","Generador de letras pequenas","Letras pequenas para copiar","Convierte texto en caracteres pequenos decorativos para copiar y pegar.","Genera texto pequeno y comprueba legibilidad, accesibilidad y compatibilidad.","texto pequeno; letras mini; small text copiar","/es/tools/letras-pequenas/","Spanish local copy intent is letras pequenas/texto pequeno.","Accessibility and readability risk."
"small-text-generator","fr","petit texte","petit-texte","Generateur de petit texte","Petit texte a copier","Transformez du texte en petits caracteres decoratifs a copier.","Utilisez le petit texte avec moderation et verifiez lisibilite sur mobile.","petites lettres; small text; texte miniature","/fr/tools/petit-texte/","French query favors petit texte/petites lettres.","Accessibility and readability risk."
"small-text-generator","de","kleiner text generator","kleiner-text-generator","Kleiner Text Generator","Kleiner Text Generator kostenlos","Erstelle kleinen Unicode-Text zum Kopieren fuer Profile und Nachrichten.","Pruefe Lesbarkeit, Barrierefreiheit und Plattform-Kompatibilitaet.","kleine schrift; small text; mini text kopieren","/de/tools/kleiner-text-generator/","German native phrase is clear.","Accessibility and readability risk."
"reverse-text-generator","es","invertir texto","invertir-texto","Invertir texto","Invertir texto online gratis","Invierte letras o texto completo para juegos, formatos creativos o pruebas rapidas.","Pega tu texto, genera la version invertida y revisa que el resultado siga siendo correcto.","texto al reves; invertir palabras; escribir al reves","/es/tools/invertir-texto/","Spanish task query is stronger than generator wording.","Low risk; caution with sensitive text pasted into tools."
"reverse-text-generator","fr","inverser texte","inverser-texte","Inverser un texte","Inverser un texte en ligne","Inversez un texte ou des caracteres pour tests, jeux de mots ou effets creatifs.","Collez votre texte, obtenez la version inversee et relisez le resultat avant usage.","texte a l'envers; inverser mots; ecrire a l'envers","/fr/tools/inverser-texte/","French task verb better captures intent.","Low risk; caution with sensitive text."
"reverse-text-generator","de","text umdrehen","text-umdrehen","Text umdrehen","Text umdrehen online","Drehe Text oder Zeichenfolgen fuer Tests, Spiele und kreative Effekte um.","Fuege Text ein, erzeuge die umgekehrte Version und pruefe das Ergebnis.","text rueckwaerts; woerter umdrehen; spiegeltext","/de/tools/text-umdrehen/","German users search task phrase Text umdrehen.","Low risk; caution with sensitive text."
"text-case-converter","es","convertidor de mayusculas y minusculas","convertidor-de-mayusculas-y-minusculas","Convertidor de mayusculas y minusculas","Convertidor de mayusculas y minusculas gratis","Cambia texto entre mayusculas, minusculas, titulo y otros formatos comunes.","Pega texto y conviertelo al formato de capitalizacion que necesites.","pasar a mayusculas; convertir minusculas; capitalizar texto","/es/tools/convertidor-de-mayusculas-y-minusculas/","Direct utility intent in Spanish.","Low risk; caution with sensitive text."
"text-case-converter","fr","convertisseur majuscules minuscules","convertisseur-majuscules-minuscules","Convertisseur majuscules minuscules","Convertisseur majuscules minuscules gratuit","Convertissez du texte en majuscules, minuscules, casse titre ou formats similaires.","Collez le texte et choisissez la casse adaptee a votre document ou contenu.","mettre en majuscules; minuscules; changer la casse","/fr/tools/convertisseur-majuscules-minuscules/","French local task query uses majuscules/minuscules.","Low risk; caution with sensitive text."
"text-case-converter","de","gross kleinschreibung umwandeln","gross-kleinschreibung-umwandeln","Gross Kleinschreibung umwandeln","Gross Kleinschreibung online umwandeln","Wandle Text in Grossbuchstaben, Kleinbuchstaben, Titelschreibweise und weitere Formate um.","Fuege Text ein und waehle die passende Schreibweise fuer deinen Inhalt.","text in grossbuchstaben; kleinbuchstaben; text formatieren","/de/tools/gross-kleinschreibung-umwandeln/","German task phrase is more natural than converter loanword.","Low risk; caution with sensitive text."
"word-counter","es","contador de palabras","contador-de-palabras","Contador de palabras","Contador de palabras online gratis","Cuenta palabras, caracteres y longitud de texto para articulos, tareas o publicaciones.","Pega tu texto y revisa conteos utiles sin cambiar el contenido original.","contar palabras; contador de caracteres; longitud de texto","/es/tools/contador-de-palabras/","Direct high-volume utility intent.","Low risk; avoid storing sensitive text."
"word-counter","fr","compteur de mots","compteur-de-mots","Compteur de mots","Compteur de mots en ligne gratuit","Comptez les mots, caracteres et longueurs de texte pour articles, devoirs ou posts.","Collez votre texte et obtenez des compteurs utiles sans modifier le contenu.","compter les mots; compteur caracteres; longueur texte","/fr/tools/compteur-de-mots/","Direct French utility intent.","Low risk; avoid storing sensitive text."
"word-counter","de","wortzaehler","wortzaehler","Wortzaehler","Wortzaehler online kostenlos","Zaehle Woerter, Zeichen und Textlaenge fuer Artikel, Aufgaben oder Beitraege.","Fuege Text ein und erhalte schnelle Zaehlungen, ohne den Inhalt zu veraendern.","woerter zaehlen; zeichenzahler; textlaenge","/de/tools/wortzaehler/","German head term is Wortzaehler; slug ASCII-normalized.","Low risk; avoid storing sensitive text."
"paragraph-generator","es","generador de parrafos","generador-de-parrafos","Generador de parrafos","Generador de parrafos gratis","Crea borradores de parrafos para ideas, articulos, descripciones o ejercicios de escritura.","Genera texto inicial y revisa hechos, tono y originalidad antes de publicarlo.","parrafos para textos; escribir parrafo; ideas de parrafos","/es/tools/generador-de-parrafos/","Direct writing-assist intent.","Review factual claims and avoid submitting unedited work."
"paragraph-generator","fr","generateur de paragraphes","generateur-de-paragraphes","Generateur de paragraphes","Generateur de paragraphes gratuit","Creez des brouillons de paragraphes pour idees, articles, descriptions ou exercices.","Generez une base de texte puis relisez faits, ton et originalite.","ecrire un paragraphe; paragraphe exemple; idees paragraphes","/fr/tools/generateur-de-paragraphes/","Direct French writing generator intent.","Review factual claims and avoid submitting unedited work."
"paragraph-generator","de","absatz generator","absatz-generator","Absatz Generator","Absatz Generator kostenlos","Erstelle Absatz-Entwuerfe fuer Ideen, Artikel, Beschreibungen und Schreibuebungen.","Nutze den Text als Grundlage und pruefe Fakten, Ton und Originalitaet.","absatz schreiben; textabschnitt; absatz beispiel","/de/tools/absatz-generator/","German writing query uses Absatz Generator.","Review factual claims and avoid submitting unedited work."
"sentence-generator","es","generador de oraciones","generador-de-oraciones","Generador de oraciones","Generador de oraciones gratis","Crea oraciones de ejemplo para escritura, practica, contenido o lluvia de ideas.","Genera frases base y ajusta gramatica, contexto y precision antes de usarlas.","oraciones de ejemplo; crear frases; frases para escribir","/es/tools/generador-de-oraciones/","Spanish oraciones is better for sentence tool than frases in some contexts.","Review grammar and factual context."
"sentence-generator","fr","generateur de phrases","generateur-de-phrases","Generateur de phrases","Generateur de phrases gratuit","Creez des phrases d'exemple pour ecriture, apprentissage, contenu ou ideation.","Generez des phrases puis adaptez grammaire, contexte et precision.","phrases exemple; creer une phrase; idees de phrases","/fr/tools/generateur-de-phrases/","Direct French sentence generation intent.","Review grammar and factual context."
"sentence-generator","de","satz generator","satz-generator","Satz Generator","Satz Generator kostenlos","Erstelle Beispielsatze fuer Schreiben, Lernen, Content und Ideenfindung.","Passe Grammatik, Kontext und Genauigkeit an, bevor du Saetze verwendest.","beispielsaetze; satz schreiben; saetze generieren","/de/tools/satz-generator/","German direct term Satz Generator.","Review grammar and factual context."
"writing-prompt-generator","es","ideas para escribir","ideas-para-escribir","Generador de ideas para escribir","Ideas para escribir gratis","Encuentra prompts e ideas para cuentos, escenas, diarios o ejercicios creativos.","Genera disparadores de escritura y adaptalos a tu voz, genero y objetivo.","prompts de escritura; ideas para cuentos; ejercicios creativos","/es/tools/ideas-para-escribir/","Spanish local intent favors writing ideas over prompt literal.","Avoid school dishonesty framing; creative support only."
"writing-prompt-generator","fr","generateur d'idees d'ecriture","generateur-didees-decriture","Generateur d'idees d'ecriture","Idees d'ecriture gratuites","Trouvez des idees et prompts pour histoires, scenes, journaux ou exercices creatifs.","Generez un point de depart puis adaptez-le a votre voix et a votre genre.","prompts ecriture; idees histoire; exercice ecriture","/fr/tools/generateur-didees-decriture/","French phrase captures prompt intent naturally.","Avoid academic dishonesty framing."
"writing-prompt-generator","de","schreibimpulse generator","schreibimpulse-generator","Schreibimpulse Generator","Schreibimpulse Generator kostenlos","Finde Schreibimpulse fuer Geschichten, Szenen, Journale und kreative Uebungen.","Nutze die Ideen als Startpunkt und entwickle sie mit eigener Stimme weiter.","schreibideen; writing prompts; geschichten ideen","/de/tools/schreibimpulse-generator/","German native term Schreibimpulse matches creative prompt intent.","Avoid academic dishonesty framing."
"blog-outline-generator","es","esquema para blog","esquema-para-blog","Generador de esquema para blog","Esquema para blog gratis","Crea estructuras de articulos con secciones, subtitulos e ideas principales.","Genera un esquema inicial y ajustalo segun intencion de busqueda y experiencia real.","estructura de blog; outline de articulo; plan de contenido","/es/tools/esquema-para-blog/","Spanish intent is outline/structure for blog posts.","Avoid thin SEO content; require human expertise."
"blog-outline-generator","fr","generateur de plan d'article","generateur-de-plan-darticle","Generateur de plan d'article","Generateur de plan d'article gratuit","Creez un plan d'article avec sections, sous-titres et idees principales.","Generez une structure puis adaptez-la a l'intention de recherche et a votre expertise.","plan article blog; structure article; outline blog","/fr/tools/generateur-de-plan-darticle/","French users search plan d'article more than blog outline.","Avoid thin SEO content; require human expertise."
"blog-outline-generator","de","blog gliederung generator","blog-gliederung-generator","Blog Gliederung Generator","Blog Gliederung Generator kostenlos","Erstelle Gliederungen fuer Blogartikel mit Abschnitten, Ueberschriften und Kernideen.","Passe die Struktur an Suchintention, Erfahrung und echte Inhalte an.","blog outline; artikel gliederung; content plan","/de/tools/blog-gliederung-generator/","German Gliederung is better local intent than literal outline alone.","Avoid thin SEO content; require human expertise."
"product-description-generator","es","generador de descripciones de productos","generador-de-descripciones-de-productos","Generador de descripciones de productos","Generador de descripciones de productos gratis","Crea borradores de descripciones para productos, tiendas y fichas comerciales.","Genera texto de producto y revisa exactitud, beneficios, politicas y cumplimiento.","descripcion de producto; ficha de producto; copy ecommerce","/es/tools/generador-de-descripciones-de-productos/","Direct ecommerce copy intent.","Must verify factual claims, pricing, compliance, and policies."
"product-description-generator","fr","generateur de description produit","generateur-de-description-produit","Generateur de description produit","Generateur de description produit gratuit","Redigez des brouillons de descriptions pour produits, boutiques et fiches e-commerce.","Generez une base puis verifiez faits, avantages, politiques et conformite.","description produit; fiche produit; texte ecommerce","/fr/tools/generateur-de-description-produit/","Direct French ecommerce copy intent.","Must verify factual claims, pricing, compliance, and policies."
"product-description-generator","de","produktbeschreibung generator","produktbeschreibung-generator","Produktbeschreibung Generator","Produktbeschreibung Generator kostenlos","Erstelle Entwuerfe fuer Produktbeschreibungen, Shops und Verkaufsseiten.","Pruefe Fakten, Vorteile, Richtlinien und rechtliche Aussagen vor Veroeffentlichung.","produktbeschreibung schreiben; shop text; ecommerce copy","/de/tools/produktbeschreibung-generator/","Natural German compound for ecommerce copy.","Must verify factual claims, pricing, compliance, and policies."
