"slug","tool_name","category","index_priority","reason"
"wheel-spinner-generator","Wheel Spinner Generator","Random Generators","noindex","security, fake, identifier, or commercial misuse risk."
"product-benefits-generator","Product Benefits Generator","Business & Brand Generators","low","thin FAQ coverage."
"pattern-generator","CSS Pattern Generator","Developer & Web Generators","low","thin FAQ coverage."
"blob-generator","CSS Blob Generator","Developer & Web Generators","low","thin FAQ coverage."
"wave-generator","CSS Wave Generator","Developer & Web Generators","low","thin FAQ coverage."
"viking-name-generator","Viking Name Generator","Gaming & Fantasy Generators","low","cultural, political, or religious sensitivity; thin FAQ coverage."
"wizard-name-generator","Wizard Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"villain-name-generator","Villain Name Generator","Gaming & Fantasy Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"werewolf-name-generator","Werewolf Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"japanese-name-generator","Japanese Name Generator","Name Generators","low","cultural, political, or religious sensitivity; thin FAQ coverage."
"korean-name-generator","Korean Name Generator","Name Generators","low","cultural, political, or religious sensitivity; thin FAQ coverage."
"city-name-generator","City Name Generator","Gaming & Fantasy Generators","low","thin FAQ coverage."
"restaurant-name-generator","Restaurant Name Generator","Business & Brand Generators","low","thin FAQ coverage."
"coffee-shop-name-generator","Coffee Shop Name Generator","Business & Brand Generators","low","thin FAQ coverage."
"album-name-generator","Album Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"book-name-generator","Book Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"movie-name-generator","Movie Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"roblox-username-generator","Roblox Username Generator","Gaming & Fantasy Generators","noindex","direct franchise/AI-brand term."
"tiktok-username-generator","TikTok Username Generator","Social Media Tools","low","direct platform/marketplace term; thin FAQ coverage."
"receipt-generator","Receipt Generator","Business & Brand Generators","noindex","security, fake, identifier, or commercial misuse risk."
"nda-generator","NDA Generator","Utility Generators","noindex","legal/policy-sensitive output."
"newsletter-name-generator","Newsletter Name Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"price-tag-generator","Price Tag Generator","Utility Generators","low","thin FAQ coverage."
"product-tag-generator","Product Tag Generator","Utility Generators","low","thin FAQ coverage."
"clothing-tag-generator","Clothing Tag Generator","Utility Generators","low","thin FAQ coverage."
"minutes-of-meeting-generator","Minutes Of Meeting Generator","Business Generators","low","thin FAQ coverage."
"event-name-generator","Event Name Generator","Business Generators","low","thin FAQ coverage."
"college-name-generator","College Name Generator","Creative & Story Generators","noindex","security, fake, identifier, or commercial misuse risk."
"diner-name-generator","Diner Name Generator","Business Generators","low","thin FAQ coverage."
"flower-name-generator","Flower Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"newspaper-name-generator","Newspaper Name Generator","Creative & Story Generators","low","thin FAQ coverage."
"plant-name-generator","Plant Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"sibling-name-generator","Sibling Name Generator","Human Name Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"pick-a-name-generator","Pick A Name Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"name-generator-wheel","Name Generator Wheel","Utility Generators","noindex","security, fake, identifier, or commercial misuse risk."
"cake-company-names-generator","Cake Company Names Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"car-name-generator","Car Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"title-name-generator","Title Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"geo-tag-generator","Geo Tag Generator","Utility Generators","noindex","unsafe, crime-adjacent, or conflict-oriented term."
"pet-tag-generator","Pet Tag Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"dj-tag-generator","DJ Tag Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"clan-tag-generator","Clan Tag Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"hang-tag-generator","Hang Tag Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"art-tag-generator","Art Tag Generator","Utility Generators","noindex","unsafe, crime-adjacent, or conflict-oriented term."
"email-tag-generator","Email Tag Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"tag-team-name-generator","Tag Team Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"warrior-name-generator","Warrior Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"secret-santa-name-generator","Secret Santa Name Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"anagram-of-name-generator","Anagram Of Name Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"cyberpunk-name-generator","Cyberpunk Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"goth-name-generator","Goth Name Generator","Creative & Story Generators","low","cultural, political, or religious sensitivity."
"project-name-generator-keywords","Project Name Generator Keywords","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"scifi-name-generator","Sci-Fi Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"last-name-and-first-name-generator","First And Last Name Generator","Name Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"baby-name-generator-with-last-name","Baby Name Generator With Last Name","Name Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"nickname-generator-based-on-name","Nickname Generator Based On Name","Name Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"phonetic-spelling-of-name-generator","Phonetic Spelling Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"name-combination-generator","Name Combination Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"performer-names-generator","Performer Names Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"disc-jockey-names-generator","DJ Name Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"name-pronunciation-generator","Name Pronunciation Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"fantasy-language-generator","Fantasy Language Generator","Writing Generators","low","thin FAQ coverage."
"color-palette-generator-from-name","Color Palette Generator From Name","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"mountain-name-generator","Mountain Name Generator","Gaming & Fantasy Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"forest-name-generator","Forest Name Generator","Gaming & Fantasy Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"team-name-generator-using-keywords","Team Name Generator By Keyword","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"trademark-friendly-name-generator","Trademark-Friendly Name Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"acceptable-use-policy-generator","Acceptable Use Policy Generator","Other","noindex","legal/policy-sensitive output."
"app-icon-generator","App Icon Generator","Other","low","thin FAQ coverage."
"app-name-generator","App Name Generator","Other","low","thin FAQ coverage."
"bakery-name-generator","Bakery Name Generator","Other","low","thin FAQ coverage."
"banner-generator","Banner Generator","Other","low","thin FAQ coverage."
"barbarian-name-generator","Barbarian Name Generator","Other","low","thin FAQ coverage."
"big-text-generator","Big Text Generator","Other","low","thin FAQ coverage."
"brat-text-generator","Brat Text Generator","Other","low","thin FAQ coverage."
"breadcrumb-generator","Breadcrumb Generator","Other","low","thin FAQ coverage."
"bubble-text-generator","Bubble Text Generator","Other","low","thin FAQ coverage."
"business-card-generator","Business Card Generator","Other","low","thin FAQ coverage."
"castle-name-generator","Castle Name Generator","Other","low","thin FAQ coverage."
"channel-name-generator","Channel Name Generator","Other","low","thin FAQ coverage."
"chatgpt-prompt-generator","ChatGPT Prompt Generator","Other","noindex","direct franchise/AI-brand term."
"club-name-generator","Club Name Generator","Other","low","thin FAQ coverage."
"cocktail-name-generator","Cocktail Name Generator","Other","low","thin FAQ coverage."
"contract-generator","Contract Generator","Other","noindex","legal/policy-sensitive output."
"cowboy-name-generator","Cowboy Name Generator","Other","low","thin FAQ coverage."
"css-code-generator","CSS Code Generator","Other","low","thin FAQ coverage."
"cursive-name-generator","Cursive Name Generator","Other","low","thin FAQ coverage."
"cute-text-generator","Cute Text Generator","Other","low","thin FAQ coverage."
"dalle-prompt-generator","DALL-E Prompt Generator","Other","noindex","direct franchise/AI-brand term."
"dinosaur-name-generator","Dinosaur Name Generator","Other","low","thin FAQ coverage."
"display-name-generator","Display Name Generator","Other","low","thin FAQ coverage."
"dj-name-generator","DJ Name Generator","Other","low","thin FAQ coverage."
"dmca-policy-generator","DMCA Policy Generator","Other","noindex","legal/policy-sensitive output."
"dog-name-generator","Dog Name Generator","Other","low","thin FAQ coverage."
"estimate-generator","Estimate Generator","Other","low","thin FAQ coverage."
"fake-text-generator","Fake Text Generator","Other","noindex","security, fake, identifier, or commercial misuse risk."
"farm-name-generator","Farm Name Generator","Other","low","thin FAQ coverage."
"favicon-generator","Favicon Generator","Other","low","thin FAQ coverage."
"food-truck-name-generator","Food Truck Name Generator","Other","low","thin FAQ coverage."
"funny-name-generator","Funny Name Generator","Other","low","thin FAQ coverage."
"gnome-name-generator","Gnome Name Generator","Other","low","thin FAQ coverage."
"hotel-name-generator","Hotel Name Generator","Other","low","thin FAQ coverage."
"html-code-generator","HTML Code Generator","Other","low","thin FAQ coverage."
"invisible-text-generator","Invisible Text Generator","Other","low","thin FAQ coverage."
"letterhead-generator","Letterhead Generator","Other","low","thin FAQ coverage."
"logo-generator","Logo Generator","Other","low","thin FAQ coverage."
"mermaid-name-generator","Mermaid Name Generator","Other","low","thin FAQ coverage."
"meta-description-generator","Meta Description Generator","Other","low","thin FAQ coverage."
"monster-name-generator","Monster Name Generator","Other","low","thin FAQ coverage."
"mood-board-generator","Mood Board Generator","Other","low","thin FAQ coverage."
"pen-name-generator","Pen Name Generator","Other","low","thin FAQ coverage."
"pet-name-generator","Pet Name Generator","Other","low","thin FAQ coverage."
"pixel-text-generator","Pixel Text Generator","Other","low","thin FAQ coverage."
"playlist-name-generator","Playlist Name Generator","Other","low","thin FAQ coverage."
"proposal-generator","Proposal Generator","Other","low","thin FAQ coverage."
"purchase-order-generator","Purchase Order Generator","Other","low","thin FAQ coverage."
"qr-code-generator","QR Code Generator","Other","noindex","security, fake, identifier, or commercial misuse risk."
"quotation-generator","Quotation Generator","Other","low","thin FAQ coverage."
"ransom-note-text-generator","Ransom Note Text Generator","Other","noindex","unsafe, crime-adjacent, or conflict-oriented term."
"retro-text-generator","Retro Text Generator","Other","low","thin FAQ coverage."
"return-policy-generator","Return Policy Generator","Other","low","thin FAQ coverage."
"robot-name-generator","Robot Name Generator","Other","low","thin FAQ coverage."
"salon-name-generator","Salon Name Generator","Other","low","thin FAQ coverage."
"service-agreement-generator","Service Agreement Generator","Other","noindex","legal/policy-sensitive output."
"ship-name-generator","Ship Name Generator","Other","low","thin FAQ coverage."
"shopify-product-description-generator","Shopify Product Description Generator","Other","low","direct platform/marketplace term; thin FAQ coverage."
"short-code-generator","Short Code Generator","Other","low","thin FAQ coverage."
"sigil-generator","Sigil Generator","Other","low","thin FAQ coverage."
"sitemap-generator","Sitemap Generator","Other","low","thin FAQ coverage."
"sith-name-generator","Sith Name Generator","Other","noindex","direct franchise/AI-brand term."
"spaceship-name-generator","Spaceship Name Generator","Other","low","thin FAQ coverage."
"sports-team-name-generator","Sports Team Name Generator","Other","low","thin FAQ coverage."
"tattoo-name-generator","Tattoo Name Generator","Other","low","thin FAQ coverage."
"token-generator","Token Generator","Other","noindex","security, fake, identifier, or commercial misuse risk."
"typewriter-text-generator","Typewriter Text Generator","Other","low","thin FAQ coverage."
"ancient-greek-inspired-name-generator","Ancient Greek-Inspired Name Generator","Creative & Story Generators","low","cultural, political, or religious sensitivity."
"roman-inspired-character-name-generator","Roman-Inspired Character Name Generator","Creative & Story Generators","low","cultural, political, or religious sensitivity."
"ancient-egyptian-inspired-name-generator","Ancient Egyptian-Inspired Name Generator","Creative & Story Generators","low","cultural, political, or religious sensitivity."
"iupac-name-generator","IUPAC Name Generator","Utility Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"victorian-name-generator","Victorian Name Generator","Name Generators","low","cultural, political, or religious sensitivity."
"racehorse-name-generator","Racehorse Name Generator","Name Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"emo-name-generator","Emo Name Generator","Creative & Story Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"poster-generator","Poster Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"flyer-generator","Flyer Generator","Business Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"fantasy-map-generator","Fantasy Map Generator","Gaming & Fantasy Generators","medium","Useful and generally safe, but less central or needs more differentiation before top indexing priority."
"papyrus-generator","Papyrus Generator","Font & Text Style Generators","high","Broad, safe intent with complete metadata and stronger launch value."
"serif-generator","Serif Generator","Font & Text Style Generators","high","Broad, safe intent with complete metadata and stronger launch value."
