slug,tool_name,category,index_status,intent_match_score,exact_keyword_intent_satisfied,missing_user_expectations,tool_options_match_intent,semantic_coverage_score,primary_keyword_coverage,secondary_keyword_coverage,related_entity_topic_coverage,over_optimization_risk,thin_repetitive_content_risk,topical_authority_score,category_cluster_fit,related_tools_quality,internal_link_strength,missing_supporting_pages_or_blog_content,category_page_improvement_needs,ux_score,tool_clarity,options_clarity,output_usefulness,copy_button_usefulness,mobile_readability_risk,friction_points,content_quality_score,intro_usefulness,faq_usefulness,disclaimer_quality_where_needed,uniqueness_vs_similar_tools,human_tone,adsense_safe_language,overall_score,issue_level,main_issue,recommended_fix,priority
witch-name-generator,Witch Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.1,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
alien-name-generator,Alien Name Generator,Gaming & Fantasy Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
vampire-name-generator,Vampire Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
fairy-name-generator,Fairy Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
goblin-name-generator,Goblin Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
character-name-generator,Character Name Generator,Creative & Story Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,7.5,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
story-name-generator,Story Title Generator,Creative & Story Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.4,minor,add targeted FAQ support,add targeted FAQ support.,low
twitch-name-generator,Twitch Name Generator,Creative & Story Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
random-phrase-generator,Random Phrase Generator,Random Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.1,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
special-character-generator,Special Character Generator,Font & Text Style Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.3,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,7.5,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
ascii-text-generator,ASCII Text Art Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.4,minor,add targeted FAQ support,add targeted FAQ support.,low
creepy-text-generator,Creepy Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add targeted FAQ support,add targeted FAQ support.,low
gaming-name-generator,Gaming Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.5,strong,strong,strong,low,medium,9,strong,strong,strong,none obvious,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.1,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
guild-name-generator,Guild Name Generator,Gaming & Fantasy Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
planet-name-generator,Planet Name Generator,Gaming & Fantasy Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
island-name-generator,Island Name Generator,Gaming & Fantasy Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,7.5,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
shop-name-generator,Shop Name Generator,Business & Brand Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,9,strong,strong,strong,none obvious,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
cafe-name-generator,Cafe Name Generator,Business & Brand Generators,low,9.7,yes,none,yes,9.2,strong,strong,strong,low,low,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,8.3,adequate,strong,not required,distinct enough for current cluster,clear and utility-focused,safe,9,none,No material issue found.,No fix required before launch.,none
project-name-generator,Project Name Generator,Business & Brand Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.4,minor,add targeted FAQ support,add targeted FAQ support.,low
stage-name-generator,Stage Name Generator,Creative & Story Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,9,strong,strong,strong,none obvious,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
wrestling-name-generator,Wrestling Name Generator,Creative & Story Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.1,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
cool-text-generator,Cool Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add targeted FAQ support,add targeted FAQ support.,low
old-english-text-generator,Old English Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add targeted FAQ support,add targeted FAQ support.,low
uwu-text-generator,UwU Text Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.4,minor,add targeted FAQ support,add targeted FAQ support.,low
leet-text-generator,Leet Speak Generator,Font & Text Style Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.3,minor,add targeted FAQ support,add targeted FAQ support.,low
random-text-generator,Random Text Generator,Random Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,8.3,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.1,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
discord-timestamp-generator,Discord Timestamp Generator,Developer & Web Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,7.5,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.7,minor,add targeted FAQ support,add targeted FAQ support.,low
canonical-tag-generator,Canonical Tag Generator,SEO & Marketing Generators,low,9.7,yes,none,yes,8.8,strong,strong,strong,low,low,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,8.3,strong,strong,not required,distinct enough for current cluster,clear and utility-focused,safe,9,none,No material issue found.,No fix required before launch.,none
utm-generator,UTM Link Generator,SEO & Marketing Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
gibberish-generator,Gibberish Generator,Random Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
shakespeare-insult-generator,Shakespeare Insult Generator,Random Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.9,adequate,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
roblox-name-generator,Roblox Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,7.6,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8.2,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
couple-name-generator,Couple Name Generator,Name Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
dwarf-name-generator,Dwarf Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
tiefling-name-generator,Tiefling Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
harry-potter-name-generator,Harry Potter Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,7.6,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8.2,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
pokemon-name-generator,Pokemon Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,7.6,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8.2,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
school-name-generator,School Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.1,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
street-name-generator,Street Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
book-club-name-generator,Book Club Name Generator,Creative & Story Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.8,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.4,minor,add targeted FAQ support,add targeted FAQ support.,low
seo-title-generator,SEO Title Generator,SEO & Marketing Generators,low,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,noindex,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,noindex,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.9,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
soundcloud-tag-generator,SoundCloud Tag Generator,Social Media & Tag Generators,noindex,9.7,yes,add targeted FAQ support,yes,8.5,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,strong,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.6,minor,add targeted FAQ support,add targeted FAQ support.,low
comeback-generator,Comeback Generator,Random Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.9,adequate,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
error-message-generator,Error Message Generator,Developer & Web Generators,noindex,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.1,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
cipher-generator,Cipher Generator,Developer & Web Generators,noindex,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
repeat-text-generator,Repeat Text Generator,Utility Generators,low,9.7,yes,add targeted FAQ support,yes,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,minor category copy/internal linking polish only,9.3,clear,clear,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,low,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8.5,minor,add targeted FAQ support,add targeted FAQ support.,low
fortnite-name-generator,Fortnite Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,7.6,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8.2,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
minecraft-name-generator,Minecraft Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.9,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
valorant-name-generator,Valorant Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.9,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
league-of-legends-name-generator,League of Legends Name Generator,Gaming & Fantasy Generators,noindex,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.9,strong,thin,adequate,distinct enough for current cluster,clear and utility-focused,safe with retained noindex/safety framing,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
magic-name-generator,Magic Name Generator,Gaming & Fantasy Generators,low,8.3,yes,add intent-matched controls; add targeted FAQ support,partial,8.1,strong,strong,strong,low,medium,8.8,strong,strong,strong,consider category/blog support if search volume justifies it,large cluster would benefit from subcategory sections and editorial intro depth,8.1,clear,minimal controls,intent-specific output,strong - shared copy all and per-section/per-result copy controls,low,limited option depth for niche intent,6.8,adequate,thin,not required,distinct enough for current cluster,clear and utility-focused,safe,8,minor,add intent-matched controls,add intent-matched controls; add targeted FAQ support.,low
