slug,tool_name,category,current_status,should_upgrade_to_premium,safe_to_upgrade,premium_upgrade_type,required_safe_framing,recommended_index_status,pass_number,reason
cool-text-generator,Cool Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
old-english-text-generator,Old English Text Generator,Font & Text Style Generators,good_enough,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,21,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
uwu-text-generator,UwU Text Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
leet-text-generator,Leet Speak Generator,Font & Text Style Generators,noindex_or_low_priority,yes,yes,"intent-specific text transformation suite with style groups, live preview, variants, and copy blocks",none required beyond normal quality controls,low,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
random-text-generator,Random Text Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
discord-timestamp-generator,Discord Timestamp Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,"platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
canonical-tag-generator,Canonical Tag Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
utm-generator,UTM Link Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
gibberish-generator,Gibberish Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as noindex_or_low_priority; Pass 18 status is treated as current.
shakespeare-insult-generator,Shakespeare Insult Generator,Random Generators,hold_sensitive,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results","consensual humor only; avoid harassment, hate, threats, doxxing, and targeted abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as noindex_or_low_priority; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
roblox-name-generator,Roblox Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
tiktok-name-generator,TikTok Name Generator,Creative & Story Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
instagram-name-generator,Instagram Name Generator,Creative & Story Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
couple-name-generator,Couple Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,19,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
dwarf-name-generator,Dwarf Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
tiefling-name-generator,Tiefling Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
harry-potter-name-generator,Harry Potter Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
pokemon-name-generator,Pokemon Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
school-name-generator,School Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
street-name-generator,Street Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
book-club-name-generator,Book Club Name Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
seo-title-generator,SEO Title Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
facebook-hashtag-generator,Facebook Hashtag Generator,Social Media & Tag Generators,hold_sensitive,yes,yes,"platform-aware social content suite with compliant tags/captions, grouping, limits, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
pinterest-tag-generator,Pinterest Tag Generator,Social Media & Tag Generators,hold_sensitive,yes,yes,"platform-aware social content suite with compliant tags/captions, grouping, limits, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
soundcloud-tag-generator,SoundCloud Tag Generator,Social Media & Tag Generators,hold_sensitive,yes,yes,"platform-aware social content suite with compliant tags/captions, grouping, limits, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
comeback-generator,Comeback Generator,Random Generators,hold_sensitive,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
error-message-generator,Error Message Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
cipher-generator,Cipher Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as hold_sensitive; Pass 18 status is treated as current.
repeat-text-generator,Repeat Text Generator,Utility Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
fortnite-name-generator,Fortnite Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
minecraft-name-generator,Minecraft Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
valorant-name-generator,Valorant Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
league-of-legends-name-generator,League of Legends Name Generator,Gaming & Fantasy Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,28,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
magic-name-generator,Magic Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
angel-name-generator,Angel Name Generator,Gaming & Fantasy Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,25,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
tavern-name-generator,Tavern Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
dungeon-name-generator,Dungeon Name Generator,Gaming & Fantasy Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
cat-name-generator,Cat Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
horse-name-generator,Horse Name Generator,Name Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
twitter-name-generator,Twitter/X Name Generator,Creative & Story Generators,hold_sensitive,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
snapchat-name-generator,Snapchat Name Generator,Creative & Story Generators,needs_premium_upgrade,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
linkedin-headline-generator,LinkedIn Headline Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
bio-generator,Bio Generator,Bio & Caption Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
slogan-generator,Slogan Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
wifi-name-generator,WiFi Name Generator,Random Generators,noindex_or_low_priority,yes,yes,"intent-specific naming suite with themed batches, filters, meanings, shortlist cards, and copy actions",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as good_enough; Pass 18 status is treated as current.
color-name-generator,Color Name Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
hex-color-generator,Hex Color Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
rgb-generator,RGB Color Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
ai-prompt-generator,AI Prompt Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,noindex,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
midjourney-prompt-generator,Midjourney Prompt Generator,AI Text & Writing Generators,hold_sensitive,yes,yes,"writing suite with tone/format controls, outlines, drafts, variants, and copy actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
passphrase-generator,Passphrase Generator,Utility Generators,needs_premium_upgrade,yes,yes,"utility workflow suite with validation, settings, structured result panels, and copy/export actions",none required beyond normal quality controls,noindex,20,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output.
pin-generator,PIN Generator,Utility Generators,good_enough,yes,yes,"utility workflow suite with validation, settings, structured result panels, and copy/export actions",none required beyond normal quality controls,noindex,24,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
api-key-generator,API Key Generator,Developer & Web Generators,hold_sensitive,yes,yes,"developer utility suite with validation, formatted output, examples, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
privacy-policy-generator,Privacy Policy Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions",informational template only; not legal advice; encourage professional review; avoid jurisdiction-specific claims,noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
terms-generator,Terms and Conditions Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions","safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
cookie-policy-generator,Cookie Policy Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions",informational template only; not legal advice; encourage professional review; avoid jurisdiction-specific claims,noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
disclaimer-generator,Disclaimer Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions",informational template only; not legal advice; encourage professional review; avoid jurisdiction-specific claims,noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
open-graph-generator,Open Graph Tag Generator,SEO & Marketing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
twitter-card-generator,Twitter Card Generator,SEO & Marketing Generators,hold_sensitive,yes,yes,"SEO/marketing suite with structured fields, SERP/social previews, checklists, and copy/export actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,29,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
youtube-description-generator,YouTube Description Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
tiktok-caption-generator,TikTok Caption Generator,Bio & Caption Generators,hold_sensitive,yes,yes,"platform-aware profile/caption suite with tone, length, CTA, variants, and copy actions","platform-aware drafting only; avoid spam, impersonation, evasion, deceptive engagement, or trademark affiliation claims",noindex,27,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
css-button-generator,CSS Button Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
box-shadow-generator,CSS Box Shadow Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
border-radius-generator,CSS Border Radius Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
regex-generator,Regex Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
cron-expression-generator,Cron Expression Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
random-letter-generator,Random Letter Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current.
random-question-generator,Random Question Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current.
truth-or-dare-generator,Truth or Dare Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
would-you-rather-generator,Would You Rather Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
joke-generator,Joke Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
compliment-generator,Compliment Generator,Random Generators,good_enough,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,23,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
email-signature-generator,Email Signature Generator,Business & Brand Generators,premium_done,no,yes,already premium; regression QA only,"safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
gradient-generator,CSS Gradient Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
font-pairing-generator,Font Pairing Generator,Developer & Web Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
blog-outline-generator,Blog Outline Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
cold-email-generator,Cold Email Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,"safe-use disclaimer; constrain output away from harm, deception, impersonation, regulated advice, and platform abuse",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
cover-letter-generator,Cover Letter Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,"honest career-assistance framing; no fabricated credentials, employers, certifications, or guarantees",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
resume-summary-generator,Resume Summary Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,"honest career-assistance framing; no fabricated credentials, employers, certifications, or guarantees",noindex,,Already classified premium after Pass 18; keep in regression QA. Sensitive or platform-adjacent intent should be premiumized with safe framing and conservative indexing.
ad-copy-generator,Ad Copy Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
call-to-action-generator,Call to Action Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
product-description-generator,Product Description Generator,AI Text & Writing Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA.
random-emoji-generator,Random Emoji Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
random-country-generator,Random Country Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
random-date-generator,Random Date Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,low,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
random-choice-generator,Random Choice Generator,Random Generators,noindex_or_low_priority,yes,yes,"randomizer suite with constraints, batch generation, history, and copyable structured results",none required beyond normal quality controls,noindex,26,Strategic update requires every retained non-premium tool to receive premium UX and intent-specific output. Earlier remaining audit marked this as premium_done; Pass 18 status is treated as current.
game-idea-generator,Game Idea Generator,Gaming & Fantasy Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
rpg-character-generator,RPG Character Generator,Gaming & Fantasy Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
npc-generator,NPC Generator,Gaming & Fantasy Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
quest-generator,Quest Generator,Gaming & Fantasy Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
story-plot-generator,Story Plot Generator,Creative & Story Generators,premium_done,no,yes,already premium; regression QA only,none required beyond normal quality controls,low,,Already classified premium after Pass 18; keep in regression QA. Earlier remaining audit marked this as needs_premium_upgrade; Pass 18 status is treated as current.
