keyword,normalized_keyword,decision,matched_existing_slug,matched_existing_tool_name,confidence,reason,recommended_action,risk_level,index_recommendation,notes
bosmer name generator,bosmer name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
channel name generator,channel name generator,covered_by_existing_tool,channel-name-generator,Channel Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
dinosaur name generator,dinosaur name generator,covered_by_existing_tool,dinosaur-name-generator,Dinosaur Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
display name generator,display name generator,covered_by_existing_tool,display-name-generator,Display Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
dune name generator,dune name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
empire name generator,empire name generator,covered_by_existing_tool,kingdom-name-generator,Kingdom Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
ffxiv name generator,ffxiv name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
forest name generator,forest name generator,covered_by_existing_tool,forest-name-generator,Forest Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
fun generator name,fun generator name,skip_duplicate_or_unclear,,,high,"Search phrase is unclear, malformed, non-tool, or too thin for a useful standalone generator.",Skip; do not build as a standalone tool.,medium,hold,Prompt noise or ambiguous query.
hawaiian name generator,hawaiian name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
hunger games name generator,hunger games name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
indian name generator,indian name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
k pop group name generator,k pop group name generator,add_as_mode_or_option,team-name-generator,Team Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to team-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
mandarin name generator,mandarin name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
na vi name generator,na vi name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
name picker generator,name picker generator,covered_by_existing_tool,pick-a-name-generator,Pick A Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
name randomizer generator,name randomizer generator,covered_by_existing_tool,pick-a-name-generator,Pick A Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
native name generator,native name generator,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
newspaper name generator,newspaper name generator,covered_by_existing_tool,newspaper-name-generator,Newspaper Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
noble name generator,noble name generator,covered_by_existing_tool,medieval-name-generator,Medieval Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
novel name generator,novel name generator,covered_by_existing_tool,book-name-generator,Book Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
performer names generator,performer name generator,covered_by_existing_tool,stage-name-generator,Stage Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
random name generator from list,random name generator from list,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
romanized name generator,romanized name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
royal name generator,royal name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
rpg name generator,rpg name generator,add_as_faq_or_seo_section,fantasy-name-generator,Fantasy Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under fantasy-name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
social media name generator,social media name generator,covered_by_existing_tool,display-name-generator,Display Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
space marine name generator,space marine name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
stand name generator jjba,stand name generator jjba,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
stylish name generator,stylish name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
trademark name generator,trademark name generator,covered_by_existing_tool,trademark-friendly-name-generator,Trademark-Friendly Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
us name generator,us name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
usa name generator,usa name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
villainess name generator,villainess name generator,covered_by_existing_tool,villain-name-generator,Villain Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
warcraft name generator,warcraft name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
werewolf name generator,werewolf name generator,covered_by_existing_tool,werewolf-name-generator,Werewolf Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
women name generator,women name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
wrestler name generator,wrestler name generator,covered_by_existing_tool,wrestling-name-generator,Wrestling Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
barbarian name generator,barbarian name generator,covered_by_existing_tool,barbarian-name-generator,Barbarian Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
biz name generator,biz name generator,covered_by_existing_tool,business-name-generator,Business Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
black person name generator,black person name generator,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
cake bakery names generator,cake bakery name generator,covered_by_existing_tool,cake-company-names-generator,Cake Company Names Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
castle name generator,castle name generator,covered_by_existing_tool,castle-name-generator,Castle Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
celtic name generator,celtic name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
chapter name generator,chapter name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
choose name generator,choose name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
cocktail name generator,cocktail name generator,covered_by_existing_tool,cocktail-name-generator,Cocktail Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
cod name generator,cod name generator,covered_by_existing_tool,gaming-name-generator,Gaming Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
drink name generator,drink name generator,covered_by_existing_tool,cocktail-name-generator,Cocktail Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
egyptian name generator,egyptian name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
faction name generator,faction name generator,covered_by_existing_tool,guild-name-generator,Guild Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
fallout name generator,fallout name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
free ambigram generator two names,free ambigram generator two name,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
fursona name generator,fursona name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
gift exchange name generator,gift exchange name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
homestuck troll name generator,homestuck troll name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
house name generator,house name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
kryptonian name generator,kryptonian name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
location name generator,location name generator,covered_by_existing_tool,town-name-generator,Town Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
mexican name generator,mexican name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
monster hunter name generator,monster hunter name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
mountain name generator,mountain name generator,covered_by_existing_tool,mountain-name-generator,Mountain Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
music group name generator,music group name generator,covered_by_existing_tool,band-name-generator,Band Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
name generator antasy,name generator fantasy,add_as_faq_or_seo_section,fantasy-name-generator,Fantasy Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under fantasy-name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
non binary name generator,non binary name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
nonbinary name generator,nonbinary name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
organization name generator,organization name generator,add_as_mode_or_option,team-name-generator,Team Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to team-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
polish name generator,polish name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
project name generator using keywords,project name generator using keyword,covered_by_existing_tool,project-name-generator-keywords,Project Name Generator Keywords,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
race horse name generator,race horse name generator,covered_by_existing_tool,horse-name-generator,Horse Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
racehorse name generator,racehorse name generator,covered_by_existing_tool,racehorse-name-generator,Racehorse Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
religion name generator,religion name generator,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
salon name generator,salon name generator,covered_by_existing_tool,salon-name-generator,Salon Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
scientific name generator,scientific name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
skyrim nord name generator,skyrim nord name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
sports team name generator,sports team name generator,covered_by_existing_tool,team-name-generator,Team Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
stardew valley farm name generator,stardew valley farm name generator,covered_by_existing_tool,farm-name-generator,Farm Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
steam name generator,steam name generator,covered_by_existing_tool,gamertag-generator,Gamertag Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
strip club name generator,strip club name generator,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
succubus name generator,succubus name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
supervillain name generator,supervillain name generator,covered_by_existing_tool,superhero-name-generator,Superhero Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
tattoo name generator,tattoo name generator,covered_by_existing_tool,tattoo-name-generator,Tattoo Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
theme park name generator,theme park name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
title name generator,title name generator,covered_by_existing_tool,title-name-generator,Title Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
weird name generator,weird name generator,add_as_mode_or_option,fancy-text-generator,Fancy Text Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fancy-text-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
wings of fire name generator,wings of fire name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
xbox gamer name generator,xbox gamer name generator,covered_by_existing_tool,gamertag-generator,Gamertag Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
xbox screen name generator,xbox screen name generator,covered_by_existing_tool,gamertag-generator,Gamertag Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
agency name generator,agency name generator,add_as_mode_or_option,business-name-generator,Business Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to business-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
amusement park name generator,amusement park name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
behindthename name generator,behindthename name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
boutique name generator,boutique name generator,covered_by_existing_tool,shop-name-generator,Shop Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
call of duty name generator,call of duty name generator,covered_by_existing_tool,gaming-name-generator,Gaming Name Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
christmas name generator,christmas name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
clone trooper name generator,clone trooper name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
cool psn names generator,cool psn name generator,add_as_mode_or_option,fancy-text-generator,Fancy Text Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fancy-text-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
creature name generator,creature name generator,add_as_mode_or_option,fantasy-name-generator,Fantasy Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fantasy-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
crossword name generator,crossword name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
dark souls name generator,dark souls name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
drug name generator fivem,drug name generator fivem,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
emo name generator,emo name generator,covered_by_existing_tool,emo-name-generator,Emo Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
evil name generator,evil name generator,covered_by_existing_tool,demon-name-generator,Demon Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,medium,noindex,Covered by a noindex/sensitive retained tool.
first and second name generator,first and second name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
gaelic name generator,gaelic name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
game name generator with keywords,game name generator with keyword,add_as_mode_or_option,hashtag-generator,Hashtag Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to hashtag-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
generator antique first names with x,generator antique first name with twitter,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
goofy name generator,goofy name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
greek god name generator,greek god name generator,add_as_mode_or_option,fantasy-name-generator,Fantasy Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to fantasy-name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
hispanic name generator,hispanic name generator,add_as_mode_or_option,name-generator,Name Generator,medium,"Modifier is best handled as a filter/style/mode within an existing broad premium tool, not a separate page.",Consider adding a mode or option to name-generator; do not create a standalone thin tool.,low,index,Clustered to avoid duplicate/thin tools.
hotel name generator,hotel name generator,covered_by_existing_tool,hotel-name-generator,Hotel Name Generator,high,Exact match in current tool slug/name/primary/secondary keywords.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
jewish name generator,jewish name generator,hold_sensitive_or_brand_risk,,,high,"Sensitive, adult, regulated, impersonation, security, audio/voice, or non-browser-heavy media/tooling intent.",Hold; do not build without separate policy/product review and likely noindex.,high,hold,Not suitable for automatic expansion in this audit.
king name generator,king name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
kitsune name generator,kitsune name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
leprechaun name generator,leprechaun name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
lion coaliiton name generator,lion coalition name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
login name generator,login name generator,covered_by_existing_tool,username-generator,Username Generator,medium,Covered by canonical synonym/cluster mapping.,Keep covered by existing canonical premium tool; no standalone page needed.,low,index,
mha name generator,mha name generator,hold_sensitive_or_brand_risk,,,high,"Brand, franchise, celebrity, platform, or third-party product-specific query without a current retained canonical tool.",Hold or noindex only after manual trademark/platform-safety review.,medium,hold,Avoid thin franchise/brand doorway pages.
military operation name generator,military operation name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
musician name generator,musician name generator,add_as_faq_or_seo_section,name-generator,Name Generator,medium,"Keyword is a close synonym, typo, or informational variant of an existing canonical tool.",Add as FAQ/SEO phrasing under name-generator if search data supports it.,low,index,"Useful for semantic coverage, not a standalone intent."
