Name,Slug,Category,Popular,Status,Score,Routing,Configured Options,Missing Options,Notes
"Refund Policy Generator","refund-policy-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","refund-business-type;refund-region;refund-window;refund-remedy;refund-returns;refund-digital-exception;refund-damaged-items","","Production ready. Wired business types, primary regions, refund windows, remedies, return rules, digital product exceptions, and defective product workflows."
"Shipping Policy Generator","shipping-policy-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","policy-store-type;policy-region;shipping-zones;processing-time;shipping-costs;shipping-carrier-options;shipping-international;shipping-customs-taxes;shipping-delivery-estimate;shipping-issue-workflow;policy-include-damaged;policy-marketplace-sales","","Production ready. Verified store types, shipping regions, zones, processing durations, and carrier preferences."
"Affiliate Disclosure Generator","affiliate-disclosure-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","affiliate-channel;affiliate-region;affiliate-relationship;affiliate-placement;affiliate-amazon-note;affiliate-review-integrity","","Production ready. Integrated channels, primary regions, relationships, placements, Amazon notes, and trust/review integrity disclaimers."
"Invoice Generator","invoice-generator","Business & Brand Generators",false,"🟢 Production Ready",10,"Switch Case","invoice-type;invoice-currency;invoice-tax-rate;invoice-line-count;payment-terms;invoice-include-tax-note;invoice-include-late-note","","Production ready. Implemented dynamic line item counts, currency symbols, invoice types, tax disclaimers, and late payment penalty terms."
"Meeting Agenda Generator","meeting-agenda-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","meeting-type;meeting-duration;meeting-include-prep;meeting-include-actions","",""
"Citation Generator","citation-generator","AI Text & Writing Generators",true,"🟢 Production Ready",9,"Switch Case","citation-source-type;citation-style","",""
"LinkedIn Post Generator","linkedin-post-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","linkedin-post-format","",""
"Facebook Post Generator","facebook-post-generator","Bio & Caption Generators",false,"🟠 Partially Implemented",4,"Switch Case","facebook-tone;facebook-goal","","Returns a placeholder / static ""coming soon"" message."
"Headline Generator","headline-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","headline-channel;headline-tone","",""
"Meme Text Generator","meme-text-generator","Creative & Story Generators",false,"🟢 Production Ready",10,"Switch Case","pass19-style;pass19-tone","","Production ready. Wired meme mode and tone selections, filtering templates into distinct caption options."
"Startup Name Generator","startup-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","startup-name-style","",""
"Photography Business Name Generator","photography-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","photography-name-style","",""
"Art Name Generator","art-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","art-name-style","",""
"Avatar Name Generator","avatar-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Video Game Name Generator","video-game-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Text Summary Generator","text-summary-generator","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","summary-format;summary-audience;summary-include-actions;summary-include-questions","","Production ready. Verified that summary layouts filter and format text properly."
"Typography Generator","typography-generator","Font & Text Style Generators",false,"🟢 Production Ready",10,"Switch Case","type-base-size;type-ratio;type-prefix","","Production ready. Verified base size scale calculations, prefix tokens, and line height settings."
"Word Art Generator","wordart-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Social Media Post Generator","social-media-post-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","social-platform;social-goal","",""
"Email Subject Line Generator","email-subject-generator","AI Text & Writing Generators",false,"🟢 Production Ready",10,"Switch Case","email-type;subject-tone","","Production ready. Wired email categories and tone options to construct tailored email subjects."
"Drag Queen Name Generator","drag-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","pass19-style;pass19-tone;pass19-count","",""
"Gamertag Generator","gamertag-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Dragonborn Name Generator","dragonborn-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Email Address Name Generator","email-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","email-name-style","",""
"Synonym Generator","synonym-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","synonym-tone;synonym-context;synonym-examples","",""
"Footnote Generator","footnote-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","footnote-style;footnote-source-type;footnote-include-bibliography","",""
"ALL CAPS Generator","all-caps-generator","Font & Text Style Generators",false,"🟢 Production Ready",10,"Switch Case","caps-preserve-lines;caps-normalize-spacing","","Production ready. Verified that both line-preservation and space-normalization options are fully wired."
"Lowercase Generator","lowercase-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Corporate Speak Generator","corporate-speak-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Random Word Generator","random-word-generator","Random Generators",true,"🟢 Production Ready",9,"Switch Case","","",""
"Dialogue Tag Generator","dialogue-tag-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","dialogue-tag-style","",""
"Name Tag Generator","name-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Graffiti Text Generator","graffiti-text-generator","Font & Text Style Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Tag Cloud Generator","tag-cloud-generator","SEO & Marketing Generators",false,"🟢 Production Ready",10,"Switch Case","cloud-max-tags;cloud-remove-stopwords;cloud-weighting","","Production ready. Implemented phrases mode with adjacent word-pair extraction and corrected tag limits."
"Blog Tag Generator","blog-tag-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","blog-tag-cms;blog-tag-intent;blog-tag-count","",""
"Random Height Generator","random-height-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Essay Title Generator","essay-title-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","essay-title-type","",""
"AO3 Tag Generator","ao3-tag-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Stable Diffusion Prompt Generator","stable-diffusion-prompt-generator","AI Text & Writing Generators",false,"🟢 Production Ready",10,"Switch Case","sd-purpose;sd-subject-type;sd-style;sd-mood;sd-lighting;sd-composition;sd-aspect;sd-detail-level;sd-output-format;sd-safety-level;sd-negative;sd-seed-note;sd-commercial-caution","","Production ready. Wired all 12 options for purposes, styles, lighting, negative prompts, safety disclaimers, and seed configurations."
"Character Prompt Generator","character-prompt-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","character-prompt-tone;character-prompt-genre;character-prompt-role;character-prompt-complexity;character-prompt-scene","",""
"Content Brief Generator","content-brief-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","brief-intent;brief-type","",""
"Press Release Generator","press-release-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","press-release-type;press-release-tone;press-release-audience;press-release-quote-style;press-release-boilerplate;press-release-media-contact;press-release-review","",""
"Author Bio Generator","author-bio-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","bio-perspective;author-tone","",""
"X/Twitter Post Generator","x-post-generator","Bio & Caption Generators",false,"🟢 Production Ready",10,"Switch Case","x-post-format;x-post-tone;x-post-audience;x-post-cta","","Production ready. Verified all formats, tones, audiences, and calls to action are fully supported."
"Viral Hook Generator","viral-hook-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","viral-hook-style;viral-hook-platform;viral-hook-content-type;viral-hook-intensity;viral-hook-safety","",""
"Content Calendar Generator","content-calendar-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Tagline Generator","tagline-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","tagline-style;tagline-length","",""
"CSS Text Shadow Generator","text-shadow-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","text-shadow-preset;text-shadow-color","",""
"CSS Grid Generator","css-grid-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","grid-columns;grid-rows;grid-gap;grid-auto-fit","",""
"CSS Flexbox Generator","flexbox-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","flex-direction;flex-justify;flex-align;flex-gap;flex-wrap","",""
"HTML Table Generator","html-table-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","table-rows;table-columns;table-header;table-striped;table-border","",""
"Dummy Data Generator","dummy-data-generator","Developer & Web Generators",true,"🟢 Production Ready",9,"Switch Case","dummy-dataset;dummy-rows;dummy-format","",""
"Random Address Generator","random-address-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Raffle Generator","raffle-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","raffle-winners;raffle-alternates;raffle-dedupe;raffle-purpose","",""
"Giveaway Winner Generator","giveaway-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Character Backstory Generator","character-backstory-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","backstory-focus;backstory-depth;backstory-role","",""
"Worldbuilding Generator","worldbuilding-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","world-genre;world-scale;world-tech-level;world-conflicts","",""
"Roast Generator","roast-generator","Random Generators",false,"🟢 Production Ready",9,"Includes Check","humor-intensity;humor-context;humor-tone;humor-target-type;roast-safe-topic;roast-off-limits;roast-event-type;humor-variant;humor-count;humor-safe-mode;humor-avoid-list;humor-softer","",""
"Quiz Question Generator","quiz-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","quiz-mode;quiz-difficulty;quiz-count;quiz-explanations","",""
"Thesis Statement Generator","thesis-statement-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","thesis-essay-type;thesis-stance;thesis-level;thesis-include-counterargument","",""
"Landing Page Copy Generator","landing-page-copy-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","landing-page-goal;landing-funnel-stage;landing-tone","",""
"JSON Schema Generator","json-schema-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","json-schema-mode;json-schema-strict;json-schema-examples","",""
"TypeScript Type Generator","typescript-type-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","ts-style;ts-root-name;ts-optional-fields;ts-readonly","",""
"SQL Query Generator","sql-query-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","sql-query-type;sql-columns;sql-limit","",""
".htaccess Generator","htaccess-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","htaccess-https;htaccess-www;htaccess-cache","",""
"PWA Manifest Generator","pwa-manifest-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","pwa-display;pwa-theme-color;pwa-background-color","",""
"HTML Form Generator","form-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","form-purpose;form-method","",""
"JWT Token Generator","jwt-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Random ID Generator","random-id-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Flashcard Generator","flashcard-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","flashcard-count;flashcard-style;flashcard-difficulty;flashcard-study-tips","",""
"Study Plan Generator","study-plan-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","study-timeline;study-intensity;study-goal-type","",""
"Lesson Plan Generator","lesson-plan-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","lesson-level;lesson-time;lesson-format","",""
"Research Question Generator","research-question-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","research-discipline;research-level;research-method;research-include-hypothesis","",""
"Bibliography Generator","bibliography-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","bibliography-style;bibliography-source-type;bibliography-include-annotations","",""
"Essay Topic Generator","essay-topic-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","essay-subject;essay-type;essay-level;essay-difficulty","",""
"Multiple Choice Question Generator","multiple-choice-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","mcq-level;mcq-difficulty;mcq-count;mcq-include-explanations","",""
"Product Bullet Points Generator","product-bullet-points-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","bullet-platform;bullet-focus;bullet-count","",""
"Amazon Listing Generator","amazon-listing-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","amazon-category;amazon-benefit-focus;amazon-tone","",""
"Etsy Listing Generator","etsy-listing-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","etsy-product-type;etsy-shop-vibe;etsy-tag-count","",""
"Customer Persona Generator","customer-persona-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","persona-type;awareness-level","",""
"Responsible YouTube Hook Generator","youtube-hook-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","youtube-hook-style","",""
"LinkedIn Summary Generator","linkedin-summary-generator","Bio & Caption Generators",false,"🟢 Production Ready",9,"Switch Case","linkedin-summary-style","",""
"Sales Email Generator","sales-email-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","sales-email-temperature;sales-email-cta;sales-email-tone","",""
"Follow-Up Email Generator","follow-up-email-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","follow-up-scenario;follow-up-tone;follow-up-length;follow-up-cta","",""
"Image Alt Text Generator","image-alt-text-generator","SEO & Marketing Generators",false,"🟢 Production Ready",9,"Switch Case","alt-context;alt-detail","",""
"Video Prompt Generator","video-prompt-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","video-format;video-platform;video-length;video-tone;video-audience;video-cta","",""
"Productivity Prompt Generator","productivity-prompt-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","productivity-prompt-mode;productivity-horizon;productivity-role;productivity-output","",""
"Brand Kit Generator","brand-kit-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","brand-mood;brand-type;font-direction","",""
"Random List Generator","random-list-generator","Random Generators",false,"🟢 Production Ready",10,"Switch Case","random-list-quantity;random-list-dedupe","","Production ready. Wired dynamic list counts, comma/newline split modes, and implemented secure WebCrypto-based shuffling."
"Random Color Generator","random-color-generator","Random Generators",false,"🟢 Production Ready",9,"Switch Case","random-color-mode;random-color-count","",""
"D&D Character Generator","dnd-character-generator","Gaming & Fantasy Generators",true,"🟢 Production Ready",9,"Switch Case","","",""
"Dungeon Generator","dungeon-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Worksheet Generator","worksheet-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","worksheet-level;worksheet-type;worksheet-difficulty;worksheet-include-answer-key","",""
"Rubric Generator","rubric-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","rubric-level;rubric-criteria-count;rubric-scale;rubric-include-feedback","",""
"Assignment Generator","assignment-generator","AI Text & Writing Generators",false,"🟢 Production Ready",9,"Switch Case","assignment-subject;assignment-level;assignment-type;assignment-duration;assignment-include-rubric","",""
"GraphQL Query Generator","graphql-query-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","graphql-operation;graphql-fields","",""
"Mock API Generator","mock-api-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","mock-method;mock-count;mock-fields","",""
"Wheel Spinner Generator","wheel-spinner-generator","Random Generators",false,"🟢 Production Ready",10,"Switch Case","wheel-spin-count;wheel-remove-winner;wheel-unique","","Production ready. Verified that spin count, winner deductions, unique filtering, and secure WebCrypto shuffling are fully wired."
"Product Benefits Generator","product-benefits-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","benefits-angle;benefits-stage;benefits-count","",""
"CSS Pattern Generator","pattern-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","pattern-style;pattern-color;pattern-background;pattern-size","",""
"CSS Blob Generator","blob-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","blob-style;blob-fill;blob-size","",""
"CSS Wave Generator","wave-generator","Developer & Web Generators",false,"🟢 Production Ready",9,"Switch Case","wave-amplitude;wave-layers;wave-fill","",""
"Viking Name Generator","viking-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Wizard Name Generator","wizard-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Villain Name Generator","villain-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",10,"Pass19 Name Configs","villain-style","","Production ready. Implemented villain style name banks and rendered output in structured card grids using renderGroupedIdeas."
"Werewolf Name Generator","werewolf-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Switch Case","","",""
"Japanese Name Generator","japanese-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Korean Name Generator","korean-name-generator","Name Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"City Name Generator","city-name-generator","Gaming & Fantasy Generators",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Restaurant Name Generator","restaurant-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","restaurant-name-style","",""
"Coffee Shop Name Generator","coffee-shop-name-generator","Business & Brand Generators",false,"🟢 Production Ready",9,"Switch Case","coffee-shop-name-style","",""
"Album Name Generator","album-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","album-name-style","",""
"Book Name Generator","book-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","book-name-style","",""
"Movie Name Generator","movie-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","movie-name-style","",""
"Receipt Generator","receipt-generator","Business & Brand Generators",false,"🟢 Production Ready",10,"Switch Case","receipt-business-type;receipt-currency;receipt-payment-method;receipt-item-count;receipt-include-policy;receipt-include-verification","","Production ready. Wired payment methods, verification checklists, currency symbols, and dynamic line items."
"NDA Generator","nda-generator","Utility Generators",false,"🟢 Production Ready",10,"Includes Check","pass29-style","","Production ready. Implemented case block and wired options for overview, scope, terms, and safety checklists in section suites."
"Newsletter Name Generator","newsletter-name-generator","Business Generators",false,"🟢 Production Ready",9,"Switch Case","industry;tone","",""
"Price Tag Generator","price-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","currency;layout;include-barcode","",""
"Product Tag Generator","product-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","tag-style;product-category;include-price;include-care-note","",""
"Clothing Tag Generator","clothing-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","garment-type;language;clothing-tag-style;include-care-symbols","",""
"Minutes Of Meeting Generator","minutes-of-meeting-generator","Business Generators",false,"🟢 Production Ready",9,"Switch Case","mom-style;mom-detail-level;mom-include-actions;mom-include-follow-up","",""
"Event Name Generator","event-name-generator","Business Generators",false,"🟢 Production Ready",9,"Switch Case","event-type;vibe","",""
"College Name Generator","college-name-generator","Creative & Story Generators",false,"🟢 Production Ready",10,"Pass19 Name Configs","institution-type;prestige-level","","Production ready. Aligned prestige level naming lists and rendered output in structured cards using renderGroupedIdeas."
"Diner Name Generator","diner-name-generator","Business Generators",false,"🟢 Production Ready",9,"Switch Case","diner-name-style","",""
"Flower Name Generator","flower-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","flower-name-style","",""
"Newspaper Name Generator","newspaper-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","newspaper-name-style","",""
"Plant Name Generator","plant-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","plant-name-style","",""
"Sibling Name Generator","sibling-name-generator","Human Name Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","matching-style;target-gender","matching-style;target-gender","Ignores configured options: matching-style, target-gender."
"Pick A Name Generator","pick-a-name-generator","Utility Generators",false,"🟡 Needs Polish",7,"Switch Case","picker-mode;picker-backups;animation;remove-selected","animation","Ignores configured options: animation."
"Name Generator Wheel","name-generator-wheel","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","wheel-mode;wheel-theme;sound-effects;remove-selected-names","",""
"Cake Company Names Generator","cake-company-names-generator","Business Generators",false,"🟢 Production Ready",9,"Switch Case","cake-company-style","",""
"Car Name Generator","car-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","car-name-style","",""
"Title Name Generator","title-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","title-name-style","",""
"Geo Tag Generator","geo-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","format","",""
"Pet Tag Generator","pet-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","pet-tag-style;pet-tag-layout;include-microchip-line","",""
"DJ Tag Generator","dj-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","dj-tag-style","",""
"Clan Tag Generator","clan-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","clan-tag-style;clan-tag-length","",""
"Hang Tag Generator","hang-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","hang-tag-style;hang-tag-purpose;hang-tag-include-price;hang-tag-include-sku","",""
"Art Tag Generator","art-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","art-tag-style","",""
"Email Tag Generator","email-tag-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","email-tag-category;email-tag-format","",""
"Tag Team Name Generator","tag-team-name-generator","Creative & Story Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","tag-team-style","tag-team-style","Ignores configured options: tag-team-style."
"Warrior Name Generator","warrior-name-generator","Creative & Story Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","warrior-class","warrior-class","Ignores configured options: warrior-class."
"Secret Santa Name Generator","secret-santa-name-generator","Utility Generators",false,"🟢 Production Ready",10,"Switch Case","output-mode;include-alternates","","Production ready. Secure shuffling using crypto.getRandomValues, proper output-mode rendering and backups, names validation."
"Anagram Of Name Generator","anagram-of-name-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","anagram-style","",""
"Cyberpunk Name Generator","cyberpunk-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","cyberpunk-name-style","",""
"Goth Name Generator","goth-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","goth-name-style","",""
"Project Name Generator Keywords","project-name-generator-keywords","Business Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","project-style;name-format","project-style;name-format","Ignores configured options: project-style, name-format."
"Sci-Fi Name Generator","scifi-name-generator","Creative & Story Generators",false,"🟢 Production Ready",9,"Switch Case","scifi-name-style","",""
"First And Last Name Generator","last-name-and-first-name-generator","Name Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","name-style;name-format","name-style;name-format","Ignores configured options: name-style, name-format."
"Baby Name Generator With Last Name","baby-name-generator-with-last-name","Name Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","baby-name-style;gender","baby-name-style;gender","Ignores configured options: baby-name-style, gender."
"Nickname Generator Based On Name","nickname-generator-based-on-name","Name Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","nickname-style","nickname-style","Ignores configured options: nickname-style."
"Phonetic Spelling Generator","phonetic-spelling-of-name-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","format;detail-level","",""
"IPA Generator","ipa-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","ipa-output-format;ipa-accent-style;ipa-detail-level","",""
"Name Combination Generator","name-combination-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","combination-mode;blend-style","",""
"Performer Names Generator","performer-names-generator","Business Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","performer-name-style","performer-name-style","Ignores configured options: performer-name-style."
"DJ Name Generator","disc-jockey-names-generator","Business Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","dj-name-style;name-format","dj-name-style;name-format","Ignores configured options: dj-name-style, name-format."
"Name Pronunciation Generator","name-pronunciation-generator","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","pronunciation-format;detail-level","",""
"Fantasy Language Generator","fantasy-language-generator","Writing Generators",false,"🟢 Production Ready",9,"Switch Case","aesthetic-sound;language-use","",""
"Color Palette Generator From Name","color-palette-generator-from-name","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","harmony-type;palette-mood;palette-count","",""
"Mountain Name Generator","mountain-name-generator","Gaming & Fantasy Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","mountain-style;feature-type","mountain-style;feature-type","Ignores configured options: mountain-style, feature-type."
"Forest Name Generator","forest-name-generator","Gaming & Fantasy Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","forest-style;forest-type","forest-style;forest-type","Ignores configured options: forest-style, forest-type."
"Team Name Generator By Keyword","team-name-generator-using-keywords","Utility Generators",false,"🟢 Production Ready",9,"Switch Case","team-vibe;keyword-placement","",""
"Trademark-Friendly Name Generator","trademark-friendly-name-generator","Business Generators",false,"🟡 Needs Polish",7,"Pass19 Name Configs","tm-industry;tm-style","tm-industry;tm-style","Ignores configured options: tm-industry, tm-style."
"Acceptable Use Policy Generator","acceptable-use-policy-generator","Other",false,"🟡 Needs Polish",7,"Switch Case","aup-service-type;aup-region;aup-risk-level;aup-enforcement;aup-security-clause;aup-content-clause;aup-api-automation-clause","aup-service-type;aup-region;aup-risk-level;aup-enforcement;aup-security-clause;aup-content-clause;aup-api-automation-clause","Ignores configured options: aup-service-type, aup-region, aup-risk-level, aup-enforcement, aup-security-clause, aup-content-clause, aup-api-automation-clause."
"App Icon Generator","app-icon-generator","Other",false,"🟢 Production Ready",9,"Switch Case","app-icon-category;app-icon-style;app-icon-shape","",""
"App Name Generator","app-name-generator","Other",false,"🟢 Production Ready",9,"Switch Case","app-category;name-style;include-taglines","",""
"Bakery Name Generator","bakery-name-generator","Other",false,"🟢 Production Ready",9,"Switch Case","business-name-style;include-taglines","",""
"Banner Generator","banner-generator","Other",false,"🟢 Production Ready",9,"Switch Case","banner-type;banner-tone;banner-cta","",""
"Barbarian Name Generator","barbarian-name-generator","Other",false,"🟢 Production Ready",9,"Switch Case","","",""
"Big Text Generator","big-text-generator","Other",false,"🟢 Production Ready",9,"Switch Case","","",""
"Brat Text Generator","brat-text-generator","Other",false,"🟢 Production Ready",9,"Switch Case","","",""
"Breadcrumb Generator","breadcrumb-generator","Other",false,"🟢 Production Ready",9,"Switch Case","","",""
"Bubble Text Generator","bubble-text-generator","Other",false,"🟢 Production Ready",9,"Switch Case","","",""
"Business Card Generator","business-card-generator","Other",false,"🟢 Production Ready",9,"Switch Case","card-style;card-orientation;include-qr-note","",""
"Castle Name Generator","castle-name-generator","Other",false,"🟢 Production Ready",9,"Pass19 Name Configs","","",""
"Channel Name Generator","channel-name-generator","Other",false,"🟢 Production Ready",9,"Switch Case","channel-platform;name-style;include-handles","",""
"ChatGPT Prompt Generator","chatgpt-prompt-generator","Other",false,"🟡 Needs Polish",7,"Switch Case","chatgpt-prompt-type;chatgpt-detail-level;chatgpt-output-format;chatgpt-risk-level;chatgpt-include-review","chatgpt-prompt-type;chatgpt-detail-level;chatgpt-output-format;chatgpt-risk-level;chatgpt-include-review","Ignores configured options: chatgpt-prompt-type, chatgpt-detail-level, chatgpt-output-format, chatgpt-risk-level, chatgpt-include-review."
